Title,year,Bechdel Score,dubious,imdbID,year submitted
!Three Amigos!,1986,2,0.0,92086,2015
"&#39;Burbs, The",1989,1,0.0,96734,2011
"&#39;night, Mother",1986,3,0.0,90556,2012
"10,000 BC",2008,1,0.0,443649,2016
"100-Year-Old Man Who Climbed Out the Window and Disappeared, The",2013,1,0.0,2113681,2014
"13th Warrior, The",1999,1,0.0,120657,2012
"33, The",2015,3,1.0,2006295,2017
"355, The",2022,3,0.0,8356942,2022
"36 Crazy Fists, The",1977,0,0.0,76661,2013
"39 Steps, The",1935,3,0.0,26029,2010
"3Tails Movie: A Mermaid Adventure, The",2015,3,0.0,3391348,2017
"4 Months, 3 Weeks and 2 Days",2007,3,0.0,1032846,2010
"40 Year Old Virgin, The",2005,3,0.0,405422,2010
"400 Tricks of the Devil, The",1906,0,0.0,567,2014
"4th Floor, The",1999,3,0.0,167752,2013
"4th Man, The",1983,1,0.0,86543,2016
"5,000 Fingers of Dr. T., The",1953,0,0.0,45464,2018
"51st State, The",2001,0,0.0,227984,2008
"5th Wave, The",2016,2,0.0,2304933,2016
"6th Day, The",2000,3,1.0,216216,2014
"9th Life of Louis Drax, The",2016,1,0.0,3991412,2017
"A Dark, Dark Man",2019,1,0.0,10867768,2020
"A Jin de gushi / Ah Kam, the Stunt woman",1996,1,0.0,115485,2014
"A-Team, The",2010,0,0.0,429493,2010
"Abyss, The",1989,3,0.0,96754,2010
"Accidental Tourist, The",1988,2,0.0,94606,2016
"Accountant, The",2016,2,1.0,2140479,2016
"Accursed, The",2010,2,0.0,1666300,2019
"Accused, The",1988,3,1.0,94608,2011
"Adam Project, The",2022,1,0.0,2463208,2022
"Addams Family, The",1991,3,0.0,101272,2012
"Addams Family, The",2019,3,0.0,1620981,2020
"Addiction, The",1995,3,0.0,112288,2011
"Adjustment Bureau, The",2011,3,1.0,1385826,2011
"Adventurer: The Curse of the Midas Box, The",2014,1,0.0,1376213,2014
"Adventures of Baron Munchausen, The",1988,1,0.0,96764,2014
"Adventures of Buckaroo Banzai Across the 8th Dimension, The",1984,3,0.0,86856,2010
"Adventures of Ichabod and Mr. Toad, The",1949,0,0.0,41094,2016
"Adventures of Milo and Otis, The",1986,1,0.0,97050,2012
"Adventures of Priscilla, Queen of the Desert, The",1994,3,0.0,109045,2012
"Adventures of Robin Hood, The",1938,2,0.0,29843,2012
"Adventures of Sharkboy and Lavagirl 3-D, The",2005,1,0.0,424774,2011
"Adventures of Sherlock Holmes, The",1939,3,0.0,31022,2014
"Adventures of Tintin, The",2011,1,0.0,983193,2011
"Advocate&#39;s Devil, The",1997,2,0.0,126774,2023
